"Source:","/home/wwhuang/Dropbox/git/CoughSense/hardware/CouchSense_v0.1/coughsense.sch"
"Date:","Thu 21 Apr 2016 02:44:27 PM EDT"
"Tool:","Eeschema 0.201604131231+6690~43~ubuntu15.10.1-product"
"Component Count:","89"
"Refs","Value","Qty","Vendor 1","Vendor 1 Part Number","Bought"
"C1 C2 ","C_4.7u_0402_10V_10%_X5R","2","Digikey","445-8023-1-ND"
"C15 C20 ","C_47p_0402_1%_C0G,NP0","2","Digikey","490-6241-1-ND"
"C16 ",".033uF 0402 Cap","1","Digikey","1276-1553-1-ND"
"C18 ","150pF 0402 Cap","1","Digikey","490-8185-1-ND"
"C25 C30 ","C_1u_0402_10V_10%_JB","2","Digikey","445-10896-1-ND"
"C3 C4 C5 C6 C7 C10 C12 C13 C14 C17 C19 C21 C22 C24 C26 C27 C28 C31 C32 C35 C36 ","C_0.1u_0402_10V_10%_JB","21","Digikey","445-10894-1-ND"
"C33 ","220pF 0402 Cap","1","Digikey","490-10684-1-ND"
"C34 ",".067 uF 0603 Cap","1","Digikey","1276-2104-1-ND"
"C8 ","C_10u_0603_10V_tantalum","1","Digikey","718-1673-1-ND	"
"C9 C11 C23 C29 C37 ","C_10u_0603_10V_10%_JB","5","Digikey","445-11403-1-ND"
"D1 ","LED_GREEN_0402_20mA","1","Digikey","511-1592-1-ND"
"J1 ","MicroSD","1","Digikey","A118117CT-ND"
"J2 ","JST_2_CONN_SIDE","1","Digikey","455-1749-1-ND"
"P1 ","CONN_01X03","1","",""
"P2 ","CONN_01X02","1","",""
"R1 ","R_1K_0402_1%,100ppm/c,0.2W","1","Digikey","P17224CT-ND"
"R10 R15 ","R_10k_0402_1%,100ppm/c,0.063W","2","Digikey","RHM10.0KCDCT-ND"
"R11 ","1.5M 0402 R","1","Digikey","541-1.50MLCT-ND"
"R12 ","R_0_0402_.1W","1","Digikey","P0.0JCT-ND"
"R14 ","R_200_0402_1%,100ppm/c,0.1W","1","Digikey","P200LCT-ND"
"R2 ","R_2K_0402_1%,100ppm/c,0.1W","1","Digikey","P2.00KLCT-ND"
"R20 R21 ","GENERIC_R_0402","2","Digikey","541-37.4KLCT-ND"
"R22 R23 ","GENERIC_R_0402","2","Digikey","541-422KLCT-ND"
"R24 R25 ","GENERIC_R_0402","2","Digikey","541-1.24MLCT-ND"
"R3 R19 ","4.7k 0402 R","2","Digikey","P4.7KDCCT-ND"
"R4 R13 ","12 Ohm 0402 R","2","Digikey","A102607CT-ND"
"R5 R8 ","R_499K_0402_1%,100ppm/c,0.063W","2","Digikey","311-499KLRCT-ND"
"R6 ","1.1 M 0402 R","1","Digikey","541-1.10MLCT-ND"
"R7 R9 ","R_100K_0402_0.5%,25ppm/c,0.063W","2","Digikey","RR05P100KDCT-ND	"
"SW1 ","CL-SB_13C","1","Digikey","563-1322-ND"
"U1 ","microUSB-B","1","Digikey","609-4616-1-ND	"
"U10 ","SPV1840LR5H-B","1","Digikey","423-1397-1-ND"
"U11 ","ICS-40310","1","Digikey","1428-1028-1-ND"
"U12 ","ISL60002CIH312Z-TK","1","Digikey","ISL60002DIH312Z-TKCT-ND"
"U13 ","AD7680","1","Digikey","	AD7680ARJZ-REEL7CT-ND"
"U2 ","MCP73831T-2ACI/OT","1","Digikey","MCP73831T-2ACI/OTCT-ND"
"U3 ","edison_iot_module","1","Mouser","607-EDI2.SPON.AL.S"
"U4 ","SPU0410LR5H-QB","1","Digikey","423-1139-1-ND"
"U5 U15 ","TS881","2","Digikey","497-13217-1-ND"
"U6 U14 ","MIC863","2","Digikey","576-2934-1-ND"
"U7 ","TXS0108E-Q1","1","Digikey","296-42401-1-ND"
"U8 ","MAX13035E","1","Digikey","MAX13035EETE+-ND"
"U9 ","ADP160AUJZ-1.2-R7","1","Digikey","ADP160AUJZ-1.2-R7CT-ND"
"W1 W2 W3 W4 W5 W6 W7 W8 W9 ","TEST_1P","9","",""
